,NT = 1 and F = 4,NT = 1 and F = 9,NT = 1 and F = 14,NT = 1 and F = run_if,NT = 10 and F = 4,NT = 10 and F = 9,NT = 10 and F = 14,NT = 10 and F = run_if,NT = 25 and F = 4,NT = 25 and F = 9,NT = 25 and F = 14,NT = 25 and F = run_if,NT = 50 and F = 4,NT = 50 and F = 9,NT = 50 and F = 14,NT = 50 and F = run_if,NT = 75 and F = 4,NT = 75 and F = 9,NT = 75 and F = 14,NT = 75 and F = run_if,NT = 100 and F = 4,NT = 100 and F = 9,NT = 100 and F = 14,NT = 100 and F = run_if
Attribute_0,0.0,0.0,0.14035087719298245,0.0,0.07753303964757709,0.11639344262295082,0.08579088471849866,0.21374045801526717,0.07518166573504752,0.097799511002445,0.10230179028132992,0.09904153354632587,0.0696490270958356,0.11701127819548872,0.04980842911877394,0.039454104842481186,0.08714043993231811,0.09465317919075145,0.07954545454545454,0.04572780132058737,0.04968467700698824,0.10011750881316099,0.1185743660041124,0.0
Attribute_1,0.0,0.0,0.2631578947368421,0.0,0.0,0.12622950819672132,0.11796246648793565,0.07569974554707379,0.07015092230296255,0.08801955990220049,0.1278772378516624,0.21405750798722045,0.04091653027823241,0.09210526315789473,0.2049808429118774,0.07440159857148931,0.07254653130287649,0.10729768786127168,0.13352272727272727,0.04599060477645281,0.05658769388102949,0.1045828437132785,0.10486634681288554,0.0
Attribute_2,1.0,1.0,0.0,1.0,0.001762114537444934,0.001639344262295082,0.010723860589812333,0.0006361323155216285,0.0008384572386808273,0.018337408312958436,0.04603580562659847,0.06070287539936102,0.002364066193853428,0.009868421052631578,0.07662835249042145,0.0001700607967348327,0.0015862944162436548,0.013367052023121388,0.05397727272727273,9.855129594954174e-05,0.0020453383330492586,0.009870740305522914,0.053461274845784786,1.0
Attribute_3,0.0,0.0,0.0,0.0,0.0,0.05245901639344262,0.09115281501340483,0.029262086513994912,0.055058692006707655,0.05134474327628362,0.0792838874680307,0.02875399361022364,0.0287324968176032,0.0718984962406015,0.0842911877394636,0.0004251519918370818,0.03733079526226735,0.0559971098265896,0.09375,0.0008212607995795144,0.05658769388102949,0.07027027027027027,0.0774503084304318,0.0
Attribute_4,0.0,0.0,0.0,0.0,0.04669603524229075,0.06721311475409836,0.045576407506702415,0.019720101781170483,0.05254332029066518,0.08801955990220049,0.09718670076726342,0.07028753993610223,0.051463902527732315,0.07095864661654136,0.04597701149425287,0.0,0.0491751269035533,0.10838150289017341,0.08428030303030302,0.0013140172793272233,0.05471280040906767,0.06980023501762632,0.07950651130911583,0.0
Attribute_5,0.0,0.0,0.03508771929824561,0.0,0.08898678414096917,0.040983606557377046,0.07238605898123325,0.09923664122137404,0.0810508664058133,0.05745721271393643,0.028132992327365727,0.06070287539936102,0.09347154028005092,0.05451127819548872,0.044061302681992334,0.04710684069554866,0.0942258883248731,0.04949421965317919,0.04071969696969697,0.0909956965934102,0.07857508096130901,0.06768507638072856,0.04386566141192598,0.0
Attribute_6,0.0,0.0,0.0,0.0,0.03171806167400881,0.06393442622950819,0.05093833780160858,0.0,0.13163778647288987,0.039119804400977995,0.023017902813299233,0.0,0.07201309328968904,0.02443609022556391,0.009578544061302681,0.23910548020917477,0.08724619289340102,0.05166184971098266,0.022727272727272728,0.13856312210505567,0.06792227714334413,0.02138660399529965,0.023303632625085675,0.0
Attribute_7,0.0,0.0,0.07017543859649122,0.0,0.02026431718061674,0.06885245901639345,0.06702412868632708,0.09860050890585242,0.09586361095584126,0.017114914425427872,0.028132992327365727,0.038338658146964855,0.06419348972540462,0.07048872180451128,0.019157088122605363,0.047957144679222824,0.05805837563451777,0.05960982658959538,0.04261363636363636,0.05558293091554154,0.07337651269814215,0.05099882491186839,0.055517477724468814,0.0
Attribute_8,0.0,0.0,0.03508771929824561,0.0,0.1145374449339207,0.03278688524590164,0.021447721179624665,0.0737913486005089,0.01732811626607043,0.03178484107579462,0.030690537084398978,0.022364217252396165,0.017821422076741224,0.021616541353383457,0.02490421455938697,0.09451128778538327,0.07201776649746193,0.039378612716763,0.035037878787878785,0.09736868039814724,0.06485426964377024,0.050763807285546414,0.03769705277587389,0.0
Attribute_9,0.0,0.0,0.03508771929824561,0.0,0.055506607929515416,0.047540983606557376,0.07238605898123325,0.0,0.08049189491335942,0.0488997555012225,0.04092071611253197,0.04792332268370607,0.026368430623749772,0.048402255639097745,0.05555555555555555,0.021810297181242295,0.05002115059221658,0.053829479768786125,0.04450757575757576,0.05055681482211491,0.059740923811147095,0.0554641598119859,0.04455106237148732,0.0
Attribute_10,0.0,0.0,0.10526315789473684,0.0,0.04140969162995595,0.07213114754098361,0.03485254691689008,0.01717557251908397,0.024315259921743992,0.0550122249388753,0.0792838874680307,0.07028753993610223,0.06346608474268049,0.06860902255639098,0.07471264367816093,0.056247608520045914,0.06440355329949239,0.055274566473988436,0.07670454545454546,0.05794816201833054,0.037753536730867565,0.06039952996474736,0.06648389307745031,0.0
Attribute_11,0.0,0.0,0.0,0.0,0.07753303964757709,0.02459016393442623,0.00804289544235925,0.03880407124681934,0.07322526551145891,0.023227383863080684,0.015345268542199489,0.009584664536741214,0.05237315875613748,0.010808270676691729,0.009578544061302681,0.06402788997066451,0.052347715736040606,0.01878612716763006,0.006628787878787879,0.04947275056666995,0.07107550707346173,0.027497062279670977,0.009595613433858808,0.0
Attribute_12,0.0,0.0,0.0,0.0,0.03436123348017621,0.022950819672131147,0.032171581769437,0.03689567430025445,0.06539966461710453,0.05623471882640587,0.020460358056265986,0.025559105431309903,0.05546462993271504,0.03007518796992481,0.02681992337164751,0.037668466476765444,0.037436548223350255,0.02565028901734104,0.016098484848484848,0.029105482737097992,0.043122549855121865,0.029142185663924795,0.01439342015078821,0.0
Attribute_13,0.0,0.0,0.017543859649122806,0.0,0.12334801762114538,0.03114754098360656,0.03485254691689008,0.04643765903307888,0.022638345444382337,0.07946210268948656,0.03836317135549872,0.022364217252396165,0.05291871249318058,0.042293233082706765,0.032567049808429116,0.017091110071850688,0.01596869712351946,0.04552023121387283,0.017045454545454544,0.05282349462895437,0.06297937617180842,0.05616921269095182,0.03769705277587389,0.0
Attribute_14,0.0,0.0,0.017543859649122806,0.0,0.02555066079295154,0.03114754098360656,0.0160857908847185,0.04961832061068702,0.03549468977082169,0.013447432762836185,0.005115089514066497,0.006389776357827476,0.07874158937988725,0.02443609022556391,0.005747126436781609,0.06683389311678925,0.03680203045685279,0.026372832369942197,0.013257575757575758,0.017213626359186624,0.044741776035452534,0.02937720329024677,0.01644962302947224,0.0
Attribute_15,0.0,0.0,0.03508771929824561,0.0,0.06696035242290749,0.04590163934426229,0.02680965147453083,0.04961832061068702,0.04499720514253773,0.042787286063569685,0.03836317135549872,0.04153354632587859,0.06128386979450809,0.0662593984962406,0.04980842911877394,0.05076314782534756,0.03754230118443316,0.04552023121387283,0.03977272727272727,0.06537235964652935,0.0570990284642918,0.04230317273795535,0.03906785469499657,0.0
Attribute_16,0.0,0.0,0.0,0.0,0.02907488986784141,0.004918032786885246,0.0,0.04071246819338423,0.024874231414197878,0.007334963325183374,0.0025575447570332483,0.0,0.03673395162756865,0.008928571428571428,0.0,0.02125759959185409,0.04928087986463621,0.008309248554913294,0.004734848484848485,0.04927564797477087,0.02761206749616499,0.012925969447708578,0.0006854009595613434,0.0
